ComID,Committee,IE,pctie,ieprodfl,ieprorpm,ieother,candall,canddfl,candrpm,partyall,partydfl,partyrpm
40036,MEDPAC Minn Medical Political Action Comm,"$4,880.00 ",4.778223832,,"$2,675.02 ","$6,040.78 ","$50,250.00 ","$30,250.00 ","$20,000.00 ","$47,000.00 ","$25,500.00 ","$21,500.00 "
40295,Friends of DFL Women,,,"$2,500.00 ",,,"$50,225.00 ","$50,225.00 ",,"$29,825.00 ","$29,825.00 ",
30124,Multi Housing Political Action Committee,,,,,,"$48,350.00 ","$23,325.00 ","$25,025.00 ","$215,100.00 ","$106,700.00 ","$108,400.00 "
70047,ACEC/MN Political Action Committee,,,,,,"$45,668.11 ","$22,768.11 ","$22,900.00 ","$29,250.00 ","$13,500.00 ","$15,750.00 "
40404,IBEW Minn State Council PAC,"$4,176.00 ",0.767779176,"$4,176.00 ",,,"$43,775.00 ","$43,775.00 ",,"$232,550.00 ","$232,550.00 ",
40238,Rural Electric Political Action Comm,,,,,,"$43,245.00 ","$20,050.00 ","$23,195.00 ","$35,076.40 ","$16,100.00 ","$18,976.40 "
30325,St Paul Pipefitters Local 455 PAC,,,,,,"$43,190.00 ","$42,690.00 ",$500.00 ,"$64,150.00 ","$64,150.00 ",
30022,Local 59 Political Fund,,,,,,"$42,900.00 ","$42,400.00 ",$500.00 ,"$118,300.00 ","$117,200.00 ","$1,100.00 "
30293,MAFMIC Political Action Committee,,,,,,"$42,360.00 ","$7,900.00 ","$34,260.00 ","$32,950.00 ","$7,375.00 ","$25,575.00 "
30594,Boilermakers 647 Political Action Fund,,,,,,"$41,837.50 ","$41,837.50 ",,"$159,000.00 ","$159,000.00 ",
30245,Minn Nurses Assn Pol Comm (MNA-PC),"$287,722.60 ",33.35744109,"$299,597.77 ","$19,271.31 ","$51,788.00 ","$41,372.75 ","$40,672.75 ",$700.00 ,"$237,844.00 ","$236,844.00 ","$1,000.00 "
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),"$24,725.88 ",16.3421918,"$7,393.68 ","$17,332.20 ",,"$41,350.00 ","$13,650.00 ","$27,700.00 ","$54,975.00 ","$22,250.00 ","$32,725.00 "
30555,Prairie Island Indian Community PAC,,,,,,"$40,750.00 ","$26,500.00 ","$14,250.00 ","$607,429.00 ","$438,179.00 ","$169,250.00 "
40038,"CAR, Committee of Automotive Retailers",,,,$460.35 ,,"$40,250.00 ","$14,650.00 ","$24,600.00 ","$195,500.00 ","$111,750.00 ","$83,750.00 "
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,,,,,,"$38,911.84 ","$25,272.46 ","$13,639.38 ","$431,313.41 ","$277,368.45 ","$153,944.96 "
40069,Northwest Petroleum NPPAC,,,,,,"$37,550.00 ","$17,550.00 ","$20,000.00 ","$14,770.00 ","$5,970.00 ","$8,800.00 "
70006,Minn Realtors Political Action Committee,"$13,945.43 ",3.665071615,"$25,023.42 ","$185,152.57 ","$15,721.74 ","$37,350.00 ","$14,750.00 ","$22,600.00 ","$328,700.00 ","$166,300.00 ","$162,400.00 "
40714,Minn Hospital PAC,"$12,932.58 ",5.726622793,"$2,932.58 ","$8,042.35 ","$10,000.00 ","$37,150.00 ","$23,000.00 ","$14,150.00 ","$171,850.00 ","$98,900.00 ","$72,950.00 "
30288,Minn Police & Peace Officers Assoc Leg Fund,"$4,685.25 ",10.06817413,"$4,685.25 ",,,"$37,000.00 ","$26,650.00 ","$10,350.00 ","$4,400.00 ","$3,900.00 ",$500.00 
40045,Committee of Thirteen Legislative Fund,,,"$1,591.00 ",,,"$36,330.00 ","$35,330.00 ","$1,000.00 ","$68,975.00 ","$67,875.00 ","$1,100.00 "
30239,Pipe Fitters Local 539,,,,,,"$36,300.00 ","$35,550.00 ",$750.00 ,"$32,347.00 ","$32,347.00 ",
30013,Joint Council 32 DRIVE,,,,,,"$34,600.00 ","$33,300.00 ","$1,100.00 ","$122,310.00 ","$122,310.00 ",
30225,TRIAL-PAC,"$1,251.30 ",0.320424533,"$1,251.30 ",,,"$33,769.80 ","$30,769.80 ","$2,500.00 ","$323,142.07 ","$276,267.07 ","$46,875.00 "
30007,Minneapolis Municipal Retirement Assoc,,,,,,"$33,450.00 ","$23,250.00 ","$10,200.00 ","$152,050.00 ","$98,250.00 ","$53,800.00 "
30085,Police Officers Fed of Mpls Contingency Fund,,,"$2,524.71 ",,,"$32,500.00 ","$17,250.00 ","$13,000.00 ","$38,250.00 ","$18,750.00 ","$19,500.00 "
80023,Teamsters Local 120 DRIVE,,,,,,"$32,400.00 ","$25,600.00 ","$4,300.00 ","$152,996.00 ","$152,996.00 ",
30588,Sheet Metal Workers PAC 10,,,,,,"$32,325.00 ","$31,675.00 ",$650.00 ,"$86,740.00 ","$86,740.00 ",
30242,Leonard Street and Deinard PAC,,,,,,"$30,175.00 ","$18,075.00 ","$11,100.00 ","$89,575.00 ","$51,550.00 ","$38,025.00 "
30025,Minn AFL-CIO,"$265,081.80 ",34.3936214,"$381,236.88 ","$1,902.96 ","$11,959.05 ","$28,650.00 ","$28,650.00 ",,"$249,225.00 ","$249,225.00 ",
40056,IFAPAC Minn,,,,,,"$27,850.00 ","$7,250.00 ","$20,600.00 ","$3,900.00 ","$2,250.00 ","$1,650.00 "
70022,Minn Soybean PAC,,,,,,"$27,825.00 ","$12,650.00 ","$15,175.00 ","$25,500.00 ","$9,500.00 ","$16,000.00 "
30218,Hospitality Political Action Committee,,,,,,"$27,400.00 ","$4,950.00 ","$22,450.00 ","$31,762.00 ","$10,062.00 ","$21,700.00 "
40825,GREAT (Great River Energy Action Team-State),,,,,,"$25,200.00 ","$15,500.00 ","$9,700.00 ","$34,300.00 ","$22,250.00 ","$12,050.00 "
30128,Minneapolis Police Relief Assoc,"$3,606.59 ",5.237828362,,"$3,606.59 ",,"$24,375.00 ","$22,425.00 ","$1,950.00 ","$39,375.00 ","$22,025.00 ","$17,350.00 "
70004,Minn Business Partnership PAC,"$168,192.61 ",24.93986552,"$4,755.60 ","$382,637.20 ",,"$24,250.00 ",$500.00 ,"$23,750.00 ","$156,950.00 ","$1,750.00 ","$155,200.00 "
30123,Minneapolis Retired Police Assoc Political Fund,,,,,,"$23,325.00 ","$21,375.00 ","$1,950.00 ","$30,400.00 ","$15,000.00 ","$15,400.00 "
70005,Minn CPAs Public Affairs Committee,,,,,,"$22,650.00 ","$10,400.00 ","$12,250.00 ","$164,500.00 ","$81,000.00 ","$83,500.00 "
30599,Minn Pipe Trades Assn PAC Fund,,,,,,"$22,650.00 ","$21,650.00 ","$1,000.00 ","$49,357.31 ","$39,107.31 ","$10,250.00 "
40019,Food PAC of Minn,,,,,,"$22,500.00 ","$5,800.00 ","$16,700.00 ","$41,525.00 ","$13,450.00 ","$28,075.00 "
41023,North Star SFAA-PAC,"$2,605.00 ",2.834448615,,"$2,605.00 ",,"$21,550.00 ","$1,500.00 ","$20,050.00 ","$65,500.00 ","$21,250.00 ","$44,250.00 "
30098,Minn Professional Fire Fighters PAC,,,,"$3,029.25 ",,"$21,026.67 ","$17,776.67 ","$3,250.00 ","$30,950.00 ","$23,250.00 ","$7,700.00 "
30074,Amalgamated Transit Union Local 1005,,,,,,"$20,925.00 ","$20,625.00 ",,"$18,180.00 ","$18,180.00 ",
40751,Minn Bank State PAC,,,,,,"$20,450.00 ","$6,300.00 ","$14,150.00 ","$84,850.00 ","$26,050.00 ","$58,800.00 "
40562,Minn Physical Therapy PAC,,,,,,"$20,050.00 ","$15,300.00 ","$4,750.00 ","$23,250.00 ","$14,500.00 ","$8,750.00 "
30012,Minneapolis Bldg & Construct Trades Council,,,,,,"$19,748.80 ","$18,998.80 ",$750.00 ,"$25,800.00 ","$25,250.00 ",$550.00 
30316,IBEW 110 PAC,,,"$1,355.00 ",,,"$19,650.00 ","$18,850.00 ",$800.00 ,"$92,625.72 ","$92,625.72 ",
30224,CUVOL,,,,,,"$19,350.00 ","$11,650.00 ","$7,700.00 ","$59,570.00 ","$29,770.00 ","$29,800.00 "
80022,MPS PAC,,,,,,"$18,650.00 ","$9,550.00 ","$9,100.00 ",,,
30019,UTU PAC-MN,,,,,,"$18,375.00 ","$18,175.00 ",$200.00 ,"$73,900.00 ","$73,650.00 ",$250.00 
30096,Duluth FirePAC,"$3,397.50 ",10.08833791,"$3,397.50 ",,,"$18,000.00 ","$18,000.00 ",,"$12,280.00 ","$12,280.00 ",
30584,Best & Flanagan Political Fund,,,,,,"$17,900.00 ","$12,300.00 ","$4,900.00 ","$31,187.50 ","$20,737.50 ","$10,450.00 "
40991,FEAPAC - MINN,,,,,,"$17,240.00 ","$5,300.00 ","$10,240.00 ","$43,062.50 ","$20,250.00 ","$22,812.50 "
40782,Carpenters Local 1644 PAC,,,,,,"$17,200.00 ","$16,950.00 ",,$750.00 ,$750.00 ,
40666,Minn Manufactured Home PAC,,,,,,"$16,800.00 ","$6,350.00 ","$10,450.00 ","$40,120.00 ","$22,370.00 ","$17,750.00 "
40246,PAL 9 Natl Assoc of Letter Carriers,,,,,,"$16,750.00 ","$16,750.00 ",,"$11,425.00 ","$11,425.00 ",
30587,Goff Public PAC,,,,,,"$16,600.00 ","$6,350.00 ","$10,250.00 ","$30,950.00 ","$15,200.00 ","$15,750.00 "
40789,Minn Power PAC,,,,,,"$16,550.00 ","$11,250.00 ","$5,300.00 ","$38,080.00 ","$18,005.00 ","$20,075.00 "
70010,MABC PAC,"$10,000.00 ",21.03674109,,"$10,000.00 ",,"$16,220.88 ",,"$16,220.88 ","$8,815.00 ",,"$8,815.00 "
40786,Messerli & Kramer Political Action Comm,,,,,,"$15,950.00 ","$11,050.00 ","$4,900.00 ","$99,510.00 ","$59,960.00 ","$39,550.00 "
41077,Michele PAC Minnesota,,,,,,"$15,500.00 ",,"$15,500.00 ","$5,000.00 ",,"$5,000.00 "
70051,Minnesotans for Racino PAC,,,,,,"$15,475.00 ","$2,400.00 ","$13,075.00 ","$23,150.00 ","$1,625.00 ","$21,525.00 "
30060,Minn State Council of UNITE HERE Unions,,,,,,"$15,100.00 ","$15,100.00 ",,"$197,750.00 ","$197,750.00 ",
40543,Minn Farmers Union PAC,,,,,,"$14,500.00 ","$14,375.00 ",$125.00 ,"$17,425.00 ","$15,025.00 ","$2,400.00 "
40741,NFIB/MN Save Americas Free Enterprise Trust,"$3,805.96 ",14.49186737,,"$4,903.46 ",,"$14,456.77 ",,"$14,456.77 ","$8,000.00 ","$1,750.00 ","$6,250.00 "
80005,VET-PAC of Minn,,,,,,"$14,100.00 ","$8,300.00 ","$5,800.00 ","$20,100.00 ","$12,050.00 ","$8,050.00 "
40248,Independent Community Bankers of Minn PAC,,,,,,"$13,700.00 ","$4,650.00 ","$9,050.00 ","$65,155.00 ","$18,205.00 ","$46,950.00 "
30274,Beer PAC-Minn Beer Wholesalers Assoc,,,,,,"$13,530.00 ","$7,500.00 ","$6,030.00 ","$152,050.00 ","$77,950.00 ","$74,100.00 "
40745,United Steelworkers District 11 Non-Federal Acct,,,,,,"$13,450.00 ","$13,450.00 ",,"$63,550.00 ","$63,550.00 ",
30011,Minneapolis Regional Labor Federation,"$32,013.30 ",9.328284166,"$69,927.00 ","$6,724.20 ",,"$13,100.00 ","$12,600.00 ",$500.00 ,"$273,322.00 ","$273,022.00 ",$300.00 
30608,MN State Bldg & Construction Trades Cncl Pol Fund,"$20,538.45 ",12.662857,"$20,538.45 ",,,"$13,037.99 ","$12,487.99 ",$550.00 ,"$119,618.00 ","$117,868.00 ","$1,750.00 "
70016,MN Corn State PAC (fka MN Corn),,,,,,"$12,670.00 ","$6,720.00 ","$5,950.00 ","$13,550.00 ","$5,300.00 ","$8,250.00 "
30111,Minn Chiropractic Political Action Comm,,,,,,"$12,250.00 ","$10,000.00 ","$2,250.00 ","$49,462.50 ","$30,562.50 ","$18,900.00 "
40201,Minn AGPAC,,,,,,"$11,899.70 ","$5,149.70 ","$6,750.00 ","$10,000.00 ","$4,800.00 ","$5,200.00 "
30611,IUPAT Political Action Together Pol Committee,,,,,,"$11,800.00 ","$11,800.00 ",,"$107,150.00 ","$107,150.00 ",
30103,Elementary Principals Action Committee,,,,,,"$11,750.00 ","$10,850.00 ",$900.00 ,"$16,375.00 ","$13,025.00 ","$3,350.00 "
30591,Minn Seasonal Recreational Property Owners PAC,"$1,256.79 ",3.324244137,$620.71 ,$636.08 ,,"$11,350.00 ","$9,000.00 ","$2,350.00 ","$24,200.00 ","$16,950.00 ","$7,250.00 "
40254,Minneapolis Fire Department Pensioners PCF,,,,,,"$11,250.00 ","$9,050.00 ","$2,200.00 ","$14,700.00 ","$10,750.00 ","$3,950.00 "
40542,Brotherhood of Locomotive Engineers & Trainmen,,,,,,"$10,650.00 ","$10,450.00 ",,"$9,200.00 ","$9,200.00 ",
30642,Carpenters Local 322,,,,,,"$10,630.00 ","$10,630.00 ",,"$1,250.00 ","$1,250.00 ",
41021,VOICES of Conservative Women State PAC (VOICESPAC),"$45,682.67 ",77.1609504,,"$45,682.67 ",,"$10,521.72 ",,"$10,521.72 ",,,
30617,Building Trades C1 PAC Fund,,,,,,"$10,500.00 ","$10,200.00 ",$300.00 ,"$18,100.00 ","$16,600.00 ","$1,500.00 "
30618,Working Families Fund,$543.51 ,2.601334098,$543.51 ,,,"$10,500.00 ","$10,500.00 ",,"$2,150.00 ","$2,150.00 ",
40894,Ottertail Power PAC,,,,,,"$10,350.00 ","$2,850.00 ","$7,500.00 ","$12,375.00 ","$5,025.00 ","$7,350.00 "
30092,Iron Workers Local 512,,,,,,"$10,300.00 ","$10,300.00 ",,"$88,300.00 ","$88,300.00 ",
30315,Fond du Lac Committee of Political Ed,,,,,,"$10,250.00 ","$6,800.00 ","$3,450.00 ","$96,350.00 ","$55,850.00 ","$40,500.00 "
80027,Project 515 PAC,,,,,,"$10,000.00 ","$9,500.00 ",$500.00 ,"$17,850.00 ","$17,850.00 ",
40820,Local 851 Political Action Committee,,,,,,"$10,000.00 ","$10,000.00 ",,$500.00 ,$500.00 ,
80008,Conservation Minnesota Voter Fund,"$138,850.79 ",77.3555365,"$236,486.08 ","$63,801.34 ","$5,813.54 ","$9,860.00 ","$8,760.00 ","$1,100.00 ","$24,400.00 ","$21,550.00 ","$2,850.00 "
40098,Road PAC of Minn,"$23,134.96 ",45.54285564,"$17,793.79 ","$5,341.17 ",,"$9,763.26 ","$6,738.26 ","$3,025.00 ","$7,900.00 ","$6,600.00 ","$1,300.00 "
30577,Plumbers & Steamfitters Local 11 PAC Fund,,,,,,"$9,750.00 ","$9,750.00 ",,"$15,805.00 ","$15,805.00 ",
40105,Lindquist & Vennum Political Fund,,,,,,"$9,750.00 ","$4,950.00 ","$3,100.00 ","$10,220.00 ","$4,670.00 ","$5,550.00 "
30312,Council 65 Political Action Committee,,,,,,"$9,450.00 ","$9,450.00 ",,"$9,980.00 ","$9,980.00 ",
40847,Emilys List - Minn,,,"$75,521.57 ",,,"$9,320.00 ","$9,320.00 ",,"$157,968.42 ","$157,968.42 ",
30083,U A Plumbers Local #34 Political Fund,,,,,,"$9,200.00 ","$9,200.00 ",,"$16,700.00 ","$16,400.00 ",$300.00 
40247,Central Minn AFL-CIO Trades & Labor Assembly,,,"$1,622.46 ",,,"$9,000.00 ","$9,000.00 ",,,,
40810,Twin Cities Republican Assn,,,,,,"$8,900.00 ",,"$8,150.00 ","$1,300.00 ",,"$1,300.00 "
40494,Minn Wheat Political Action Committee,,,,,,"$8,825.00 ","$4,100.00 ","$4,725.00 ",,,
30174,United Food & Commerical Workers Council 6,,,,,,"$8,806.00 ","$8,306.00 ",$500.00 ,"$64,900.00 ","$64,900.00 ",
40935,Friends of Minn Nurse Anesthetists,,,,,,"$7,950.00 ","$3,600.00 ","$2,350.00 ","$12,500.00 ","$8,000.00 ","$4,500.00 "
40981,Progressive Majority Minnesota,,,,,,"$7,814.66 ","$7,814.66 ",,"$3,750.00 ","$3,750.00 ",
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,,,,,,"$7,800.00 ","$3,550.00 ","$2,000.00 ","$3,500.00 ","$3,250.00 ",$250.00 
30331,IBEW - COPE,,,,,,"$7,500.00 ","$7,500.00 ",,"$81,000.00 ","$81,000.00 ",
40016,PharmPAC,,,,,,"$7,450.00 ","$3,300.00 ","$4,150.00 ","$10,850.00 ","$6,050.00 ","$4,800.00 "
30626,East Central MN Area Labor Council COPE,"$2,388.60 ",18.67757221,"$2,388.60 ",,,"$7,000.00 ","$7,000.00 ",,"$2,400.00 ","$2,400.00 ",
30620,Local 548 PAC,,,,,,"$6,950.00 ","$6,950.00 ",,,,
80002,MSA-PAC,,,,,,"$6,750.00 ","$3,500.00 ","$3,250.00 ","$14,000.00 ","$5,500.00 ","$8,500.00 "
30592,Carpenters Local Union 361 Pol Fund,,,,,,"$6,750.00 ","$6,250.00 ",,"$4,740.00 ","$4,740.00 ",
40882,Lommen Nelson Political Action Committee,,,,,,"$6,750.00 ",,,,,
30268,People in Construction Political Action Comm,,,,,,"$6,700.00 ","$2,700.00 ","$4,000.00 ","$15,200.00 ","$8,750.00 ","$6,450.00 "
30277,Minn Independent Insurance Agents PAC,,,,,,"$6,600.00 ","$2,800.00 ","$3,800.00 ",$650.00 ,$200.00 ,$450.00 
40275,Public Emp Pension Serv Assn (PEPSA) Pol Fund,,,,,,"$6,550.00 ","$4,550.00 ","$2,000.00 ","$63,965.00 ","$35,290.00 ","$28,675.00 "
30234,Sprinkler Fitters Local Union No 417,,,,,,"$6,550.00 ","$6,300.00 ",$250.00 ,"$11,400.00 ","$11,400.00 ",
70044,Minn PRO PAC,,,,,,"$6,450.00 ","$3,300.00 ","$3,150.00 ","$1,850.00 ",$900.00 ,$950.00 
40877,Xcel Energy Employees PAC (fka Power PAC),,,,,,"$6,425.00 ","$2,975.00 ","$3,450.00 ","$94,465.00 ","$41,265.00 ","$53,200.00 "
30127,Minn Cable Comm Assoc - PAC,,,,,,"$6,400.00 ","$4,050.00 ","$2,350.00 ","$46,345.00 ","$22,945.00 ","$23,400.00 "
40889,Leech Lake PAC,,,,,,"$6,362.50 ","$6,062.50 ",$300.00 ,"$38,759.28 ","$35,259.28 ","$3,500.00 "
30345,Winthrop & Weinstine PA Political Fund,,,,,,"$6,130.63 ","$3,300.00 ","$2,400.00 ","$19,930.00 ","$8,780.00 ","$11,150.00 "
80029,Minneapolis Police Fraternal Association,,,,,,"$6,100.00 ","$5,650.00 ",$450.00 ,"$5,950.00 ","$2,950.00 ","$3,000.00 "
40970,Grand Portage PAC,,,,,,"$6,000.00 ","$5,500.00 ",$500.00 ,"$36,650.00 ","$35,900.00 ",$750.00 
80021,CWA COPE PCC,,,,,,"$6,000.00 ","$6,000.00 ",,"$33,000.00 ","$33,000.00 ",
30154,St Paul Firefighters Local 21 Political Action Committee,,,,,,"$6,000.00 ","$6,000.00 ",,"$11,000.00 ","$10,000.00 ","$1,000.00 "
40561,Minn Farm Credit Services PAC,,,,,,"$6,000.00 ","$2,250.00 ","$3,750.00 ",,,
41087,Minnesota PAC,,,,,,"$5,925.00 ",,"$5,925.00 ",,,
40123,Minn Service Station Assoc,,,,,,"$5,900.00 ","$2,500.00 ","$3,400.00 ","$4,550.00 ","$3,400.00 ","$1,150.00 "
30612,Meagher & Geer PLLP Political Fund,,,,,,"$5,800.00 ",$600.00 ,,,,
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,,,,,,"$5,700.00 ","$5,700.00 ",,"$11,500.00 ","$11,500.00 ",
30583,Carpenters Local #606 PAC,,,,,,"$5,700.00 ","$5,700.00 ",,"$7,400.00 ","$7,400.00 ",
30557,NAIOP Economic Growth Fund,,,,,,"$5,500.00 ","$2,000.00 ","$3,500.00 ","$11,250.00 ",,"$11,250.00 "
70013,TwinWest Chamber of Commerce PAC,"$9,817.60 ",15.18852061,"$3,177.53 ","$21,897.17 ",,"$5,500.00 ",,"$5,500.00 ","$8,500.00 ","$1,250.00 ","$7,250.00 "
40274,Communication Workers of America Local 7200,,,,,,"$5,500.00 ","$5,000.00 ",$500.00 ,"$1,250.00 ","$1,250.00 ",
30603,St Paul Police Federation Political Awareness Fund,,,,,,"$5,500.00 ","$5,500.00 ",,,,
40898,Coalition for Democratic Values,,,"$1,126.20 ",,,"$5,500.00 ","$5,500.00 ",,,,
80003,Minn PACE,,,,,,"$5,460.00 ","$5,460.00 ",,,,
30002,Minn State Patrol Troopers Assoc,,,,,,"$5,350.00 ","$4,350.00 ","$1,000.00 ","$24,550.00 ","$17,050.00 ","$7,500.00 "
30575,CWA Minnesota State Council,,,,,,"$5,350.00 ","$5,350.00 ",,"$3,950.00 ","$3,950.00 ",
40994,Northeast ALC PAC,$513.00 ,3.881849516,$513.00 ,,,"$5,300.00 ","$5,300.00 ",,"$6,672.50 ","$6,672.50 ",
30016,Firefighters Assoc of Mpls Political Fund,,,,,,"$5,300.00 ","$5,300.00 ",,"$5,250.00 ","$4,250.00 ","$1,000.00 "
40094,IBEW Local #31 Volunteer COPE Fund,,,$457.30 ,,,"$5,250.00 ","$5,250.00 ",,"$8,730.00 ","$8,730.00 ",
30327,Lower Sioux Political Education Fund,,,,,,"$5,200.00 ","$3,700.00 ","$1,500.00 ","$38,174.00 ","$32,674.00 ","$5,500.00 "
40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$1,528.87 ",3.074402647,"$5,966.98 ",,,"$5,200.00 ","$5,200.00 ",,"$30,050.00 ","$30,050.00 ",
40907,Motorcycle PAC of Minn,,,,,,"$4,950.00 ","$2,850.00 ","$2,100.00 ","$6,250.00 ","$3,000.00 ","$3,250.00 "
30115,Minn State MNPL,,,,,,"$4,500.00 ","$4,500.00 ",,"$15,500.00 ","$15,500.00 ",
80001,Minn Eye PAC,,,,,,"$4,420.00 ","$2,520.00 ","$1,650.00 ","$32,500.00 ","$17,500.00 ","$15,000.00 "
30093,SEIU Healthcare Minn (fka SEIU Local 113),"$15,008.29 ",3.800161357,"$15,008.29 ",,,"$4,400.00 ","$4,400.00 ",,"$64,892.97 ","$64,892.97 ",
40936,21st Senate District Republican Party,,,,,,"$4,350.00 ",,"$4,350.00 ",$796.48 ,,$796.48 
30568,Rice Michels & Walther LLP Political Fund,,,,,,"$4,250.00 ","$3,750.00 ",$500.00 ,"$12,446.02 ","$8,859.81 ","$3,586.21 "
30622,TCO Political Action Committee,,,,,,"$4,200.00 ",,"$4,200.00 ","$20,800.00 ","$8,000.00 ","$12,800.00 "
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),,,$417.13 ,,,"$4,200.00 ","$4,200.00 ",,"$3,650.00 ","$3,650.00 ",
30602,SEIU Local 26 Political Fund,,,,,,"$4,000.00 ","$4,000.00 ",,"$11,745.00 ","$11,745.00 ",
40915,Duluth Active & Retired Teachers Group,,,,,,"$4,000.00 ","$4,000.00 ",,"$6,000.00 ","$6,000.00 ",
70053,Minn Green Industry Political Action Committee,,,,,,"$4,000.00 ","$2,000.00 ","$2,000.00 ",,,
30032,Robbinsdale Federation of Teachers COPE Fund,,,,,,"$4,000.00 ","$4,000.00 ",,,,
40821,Pine Bend PAC,,,,,,"$3,950.00 ","$1,850.00 ","$2,100.00 ","$58,270.00 ","$24,720.00 ","$33,550.00 "
40753,AFSCME Local 34 PEOPLE,,,,,,"$3,950.00 ","$3,950.00 ",,"$2,850.00 ","$2,850.00 ",
30190,MCCL State Pac,"$60,057.47 ",90.99681467,"$52,215.38 ","$360,548.89 ","$11,939.15 ","$3,911.13 ",,"$3,911.13 ","$2,030.93 ",,"$2,030.93 "
40995,Minnesotans for Limited Government,"$2,012.00 ",34.03247632,,"$2,012.00 ",,"$3,900.00 ",,"$3,900.00 ",,,
